subject,property,object,question
Q11959860,R58,Q303312,What's a movie that credits axel hellstenius as a writer
Q568280,P31,Q3863,is 7075 sadovnichij a comet or an asteroid
Q725507,P509,Q202837,What kind of condition did sterling holloway die from?
Q1327994,R264,Q258761,what female artist is on the matador records label
Q6581072,R21,Q303741,name a female character
Q3445813,P509,Q12152,how did roy roberts die
Q235637,R40,Q178525,Who is the parent of alix of france?
Q5079870,P19,Q18419,where was charles koppelman born in
Q620054,P31,Q3863,what is 6520 sugawa 
Q781634,P1303,Q6607,which instrument was played by steve earle
Q2734897,P19,Q752460,where was jorge arce born?
Q44426,R1040,Q699490,what film did rainer werner fassbinder edit
Q172241,P344,Q460277,who is the cinematographer of the shawshank redemption
Q918679,P31,Q3863,Which type of celestial object is 3916 maeva
Q1337034,P138,Q60429,who was raman named after
Q1028181,R106,Q3453645,Name a painter
Q82955,R106,Q791348,name a politician.
Q29217,P136,Q320592,what genre of music is cluster 71 considered
Q9036,R138,Q478214,What company was named after nikola tesla?
Q104859,R138,Q287790,What is named after michael collins (astronaut)?
Q171223,R19,Q898474,which hungarian footballer was born in nyíregyháza
Q28389,R106,Q5667433,What is the name of a famous English screenwriter?
Q504657,P17,Q858,which country is idlib located in
Q23291,R19,Q74526,who is a military leader born in cannobio
Q201330,R413,Q577142,what is the name of a goalkeeper in soccer
Q313048,P119,Q1302545,Where was bob kane buried?
Q1437111,P19,Q3820,Which city was raymond tarabay born in
Q355300,R58,Q856805,what film did richard curtis write?
Q461582,P27,Q664,What nationality is juliette haigh?
Q59824,P20,Q60,which city did kim hunter pass away
Q256677,P136,Q220830,what type of music does marilyn rovell perform
Q6607,R1303,Q357455,who plays the guitar
Q126399,R272,Q652592,What science fiction movie did warner bros. make?
Q3101880,P27,Q30,which nation state is george roussos from
Q323260,P20,Q1781,what is loránd eötvöss place of death
Q67643,P21,Q6581097,What is the gender of ingo steuer
Q7184510,P19,Q83065,where is philip voss born
Q34740,R105,Q838000,What is a classification of genus?
Q274044,P1303,Q6607,what is an instrument that rory block knows how to play?
Q217478,R171,Q989480,what is tyrant flycatcher classified as
Q2080965,P276,Q796,what country has battle of zumail
Q3624043,P264,Q645889,what label represents art of dying
Q18424,R19,Q6278450,Name a person born in queens
Q299736,P413,Q280658,what position does football player tomáš necid play
Q1058262,P170,Q205739,Name an english writer who created the Sodam Yat fictional character
Q9361581,P21,Q6581072,What is Emily Kwan's gender?
Q1372222,P19,Q16552,what californian city was  michael j. mcculley born
Q1427222,P58,Q108941,Who wrote the film postcards from the edge?
Q3665646,R106,Q929347,what are the names of russian basketball players?
Q1484901,P196,Q2179,what is 11017 billputnam a part of?
Q248972,P364,Q1860,what language was used in the tv program tom & jerry kids
Q6982479,P509,Q12152,what health problem killed navin nischol
Q152870,P31,Q3863,what is the categorical name of 4170 semmelweis
Q436317,P20,Q490,Where did giulio bosetti die
Q2526255,R106,Q628951,What is the name of the director of the film  Ma vie en rose?
Q5363104,P27,Q145,Which country does elizabeth larner have nationality in
Q35064,R50,Q582509,what book is written by agatha christie?
Q2255030,P131,Q494541,What is the name of the county that north deland is located in?
Q579311,P61,Q737057,who discovered (6872) 1993 cn1
Q1289871,P27,Q30,which country is terry carter from
Q981166,P21,Q6581097,What is the sex of james brooks (whig)?
Q215,R17,Q15901,Name an administrative division in Slovenia. 
Q2994679,P19,Q864156,Where was saitō yoshitatsu born?
Q697131,R162,Q617249,what movie did arnon milchan produce
Q155,R17,Q1762094,what is one of the municipalities located in brazil
Q1718539,R162,Q570847,What film did regina ziegler produce?
Q11366,R136,Q621714,what is the name of a alternative rock by blue october
Q909802,P58,Q1484216,Who was the author of the punisher?
Q926285,P136,Q83440,which genre is dolly: the seeker/we used to affiliated with
Q7601035,P50,Q575345,who is the author of star trek
Q336286,R413,Q5234367,who is a football player that plays defender?
Q1356395,P58,Q376130,who wrote the screenplay for alfie 
Q11198,P17,Q225,which country does federation of bosnia and herzegovina belong to
Q182485,P413,Q1143358,does pee wee reese play shortstop or power forward
Q677553,P19,Q128375,In which Texas city lee nguyen was born in?
Q1373377,R162,Q1557461,which film is rakesh roshan credited as a producer?
Q146183,R112,Q223659,Which organization was john bosco a founder for?
Q2719381,P105,Q7432,What is the classification rank of terminalia arjuna
Q1895941,P421,Q2086913,what time zone is the alaska township located in
Q71728,P27,Q183,What european country is jan boeckhorst from?
Q1016828,R179,Q1016838,What's a game that's part of the burnout series
Q38222,R57,Q2141710,what film did george lucas direct?
Q149632,P397,Q525,Which star does 2594 acamas orbit
Q2658283,P364,Q150,In what language is the dialogue from the film Four Nights of a Dreamer?
Q470495,P21,Q6581097,what is nesmith ankeny's gender
Q4542815,P31,Q3863,What celestial object is (29219) 1992 bj?
Q1567731,P495,Q142,what country is the film lassie based in?
Q1193949,R19,Q4956951,WHo was born in carthage
Q127998,P19,Q188336,where was mahmoud abbas born
Q11772710,P136,Q8261,what kind of book is mcteague
Q1188364,P105,Q7432,what is the rank of the organism classification phainopepla
Q2207346,P21,Q6581097,what gender is dmitriy mamin-sibiryak
Q336442,P607,Q361,"what war was william birdwood, 1st baron birdwood involved in?"
Q1777426,R144,Q106440,What is the name of a film adaptation of the book goldfinger
Q336286,R413,Q4805545,who is a football defender
Q1226274,P21,Q6581097,whats jacob lekgetho's biological gender
Q432743,P1303,Q6607,what instrument is played by gavin rossdale
Q94912,R123,Q94671,what is a grand theft auto cdv published by rockstar games
Q30,R17,Q156370,Name a county in united states
Q984171,P421,Q847142,What time zone is irwindale in?
Q455238,R86,Q2633455,kan ishii was a composer for which film?
Q2590104,P58,Q44414,who wrote the episode hell on earth 2006
Q206357,P115,Q1421388,where does the minnesota wild play
Q36180,R106,Q5326170,name a professional writer.
Q44797,P150,Q426743,which location is the administrative child of mendoza province
Q1377687,P20,Q1085,where did karel teige die?
Q518379,P86,Q1665575,who did the music for duel of the titans
Q7614435,P19,Q208948,WHere was steven adams born
Q534818,P138,Q152788,Who was 5698 nolde named after?
Q688502,P276,Q68283,where did the battle of morat take place
Q126183,P495,Q30,which country released working girl
Q913401,R1142,Q3896803,what political party's political ideology is radicalism
Q4889976,P106,Q10871364,What is benny frey's profession?
Q2837617,P136,Q1054574,what genre is all the real girls classified as 
Q11428427,P27,Q17,what nationality does  shohei tsukahara belong to
Q8013434,P20,Q49164,Where did william james beal die?
Q6850417,P57,Q463617,Who directed the tv series milagro
Q1343925,P21,Q6581097,What gender is Sholom Schwartzbard?
Q36834,R106,Q1891055,What is the name of an important Greek music composer?
Q11399,R136,Q233959,What artist makes rock music
Q167393,P19,Q1748,where is målkjær born?
Q766468,R58,Q211373,What film did alfred uhry contribute to?
Q3476760,P19,Q39561,Which city was sean mcnamara born
Q3775069,P17,Q30,What country is the grand lake (colorado) located within
Q1809467,R19,Q333233,who was born in templemore?
Q5214371,P413,Q1368195,what position does dan shannon play in baseball?
Q1584333,P57,Q55430,Who directed happy times
Q313003,P21,Q6581097,What is ludwig scotty's gender?
Q131285,R86,Q1771288,What film did john williams contribute music towards
Q2625129,P404,Q208850,What a gameplay mode in the amazing spider-man
Q297562,P19,Q84,Where was leopold stokowski born?
Q829,P17,Q30,which country is utah in 
Q3959807,P123,Q1136242,Who is the publisher of the game shrek super party
Q11125816,R144,Q287748,Name the film adaptation of the novel lincoln lawyer?
Q726157,P20,Q90,where was jean rousseau laid to rest
Q744038,R136,Q187339,whats an example name of a  role-playing video game 
Q185376,P364,Q1860,what language is major payne in?
Q1248715,P106,Q33999,what is judit rezes occupation
Q152793,P19,Q727,Where was karel appel born?
Q471423,P162,Q365844,who produced the movie the specialist
Q718451,P20,Q34006,where in los angeles did  henry bergman die
Q93204,R136,Q1141615,what movie is a type of documentary film?
Q782,R19,Q6828008,Name a film actor born in hawaii.
Q636219,P404,Q6895044,What is a gameplay mode from the game gears of war
Q254596,P19,Q47164,Where was dominique dunne born?
Q4772709,P172,Q49085,what is anthony herrera's ethnicity?
Q849140,P57,Q489831,who directed cop out
Q770105,P495,Q16,What is the country of origin for the tv program the adventures of sinbad?
Q1810512,P136,Q200092,Which genre can one find swamp thing under on netflix
Q201330,R413,Q1703277,Who is a mexican goalkeeper?
Q5079870,P27,Q30,what is charles koppelmans nationality
Q6289059,P21,Q6581097,What is josh klein-davies's gender?
Q12785472,P27,Q215,where is barbara levstik from 
Q1933148,P175,Q1335689,Who is the artist of the album fight to survive?
Q102851,P20,Q6259,where did boethius die
Q1514038,P364,Q1860,what language is used in the film  the proposition
Q1460497,P105,Q7432,what rank is the quercus michauxii
Q767675,P413,Q201330,What soccer position does tsukasa hosaka play?
Q11330,P19,Q241037,Where was masato harada birthed
Q222939,P58,Q704553,who was in charge of story on jumanji
Q3309544,P21,Q6581097,is michel duplaix male or female?
Q1423020,P162,Q697131,who is the producer of the movie tigerland
Q631103,P57,Q471552,who directed mean girls
Q130232,R136,Q4892355,which movie is drama
Q265819,P509,Q12192,What illness killed mary philbin
Q57143,R136,Q1191265,what is the name of a power metal album
Q495142,P17,Q30,What country is clarke county located in?
Q201330,R413,Q234866,whats the name of a football goalkeeper
Q2866550,P19,Q18419,where was ashley monique clark born
Q2667782,P170,Q5599,who was the artist of the descent from the cross
Q859,P20,Q844930,where did plato meet his maker
Q30,R17,Q115227,What is a second level division of united states
Q9798,R1303,Q272203,Name someone who played the saxophone
Q312480,R58,Q171305,what is the name of a work by leonid gaidai
Q153474,P196,Q2179,to which asteroid group does 4306 dunaevskij belong
Q742136,P413,Q280658,What position did Senegalese football player ali dia play?
Q497036,P19,Q752681,what was dean cundey's place of birth
Q3740213,P136,Q130232,what types of movie is starkweather
Q1998495,P19,Q1017175,where was siraj ud-daulah born?
Q16028447,P495,Q142,what country is fermière à montfaucon from?
Q214831,P1303,Q5994,what instrument does david archuleta play
Q1967550,P20,Q649,where in russia did aleksandr porokhovshchikov pass away
Q8355,R1303,Q461151,Who is famous for playing the violin
Q1165071,P58,Q551429,Who wrote danton (1983 film)?
Q3047214,P21,Q6581097,what is ed wang's biological gender
Q2587127,R287,Q2212127,what game is designed by hiroyuki ito
Q287774,P31,Q3863,What type of object is 3809 amici
Q174209,P19,Q1546,Where was glen brand born?
Q7608398,P21,Q6581072,what is stephaniesmithmusic's gender
Q662342,P495,Q183,where is k-19: the widowmaker from?
Q934042,P136,Q49451,What musical style is the album vulture culture?
Q12152,R509,Q3438745,Who was an actor killed by a myocardial infarction
Q164546,P27,Q414,Where is the blond arrow originally from
Q755939,P21,Q6581097,what gender is muhammad baqir majlisi
Q16066065,P19,Q203000,where was james craig born
Q3806352,P175,Q128799,who is the musician that created jaleo
Q4977791,P27,Q30,what country is bruce kimmel from
Q71685,P20,Q1748,Where did gustav friedrich hetsch die
Q5624409,P19,Q23276,where was simon drake born
Q171349,P106,Q82955,What was the profession of abbas i of persia
Q3282637,R106,Q2846619,Name a film producer.
Q678914,P17,Q39,what country contains thun
Q12152,R509,Q3276073,Whose death was caused by myocardial infarction?
Q7612628,P413,Q193592,what soccer position does steve garvey play?
Q2627593,P31,Q3863,What is 10825 augusthermann
Q2106732,P27,Q35,Where is poul glargaard from?
Q1906238,P20,Q16554,which city did mary chase pass away
Q3849543,P21,Q6581097,what gender is mark rogers
Q233360,P276,Q1992093,where did the second battle of corinth take place
Q1347609,P272,Q434841,Which production company produced idiocracy
Q1306317,P155,Q754892,what was the prequel to beethoven's 2nd
Q276343,P86,Q268976,Who composed the music for the film the girl with the dragon tattoo?
Q1754,R276,Q1090991,what event occurred in stockholm
Q1024044,P20,Q84,where did leigh bowery kick the bucket
Q3392009,P495,Q30,in which country was the lot in sodom filmed
Q11648654,P21,Q6581097,What is takuji suzuki's gender?
Q5303159,P57,Q190373,Who directed the film downhearted duckling?
Q237318,R40,Q12967,Who was a parent of princess louise of belgium
Q7785909,P58,Q2558191,"Who wrote the TV series ""This is not happening""?"
Q102235,P364,Q1860,What language is the film harry potter and the order of the phoenix spoken in?
Q2012764,P136,Q11366,what genre is made of bricks
Q33999,R106,Q6390412,What is the name of an american actor and film director?
Q2408644,P27,Q408,whats brian hannant's country of origin
Q434718,P1040,Q95008,Who edited the film Assault on Precinct 13?
Q232819,P136,Q1071873,what genre does koko taylor perform
Q319221,R136,Q42051,What is a well known adventure film
Q1252302,P19,Q18426,Where was douglas fowley born?
Q200092,R136,Q600095,What is a film in the horror genre?
Q470862,P140,Q5043,which religion does rhodri the great follow?
Q311241,P106,Q2252262,what does bobby brown do for a living
Q332419,P19,Q43382,Where was the place of birth of michael foot
Q12323855,P27,Q35,Which nordic country does lars kaalund belong to?
Q2636097,P404,Q208850,What's a gameplay mode in serious sam 3: bfe
Q2216690,P20,Q65,what city did sam whipple die in
Q2999,R19,Q44068,who was born in würzburg?
Q946169,P136,Q483352,what type of music is metal church?
Q883584,P20,Q28515,where was john riley tanner's death
Q5273120,P106,Q33999,what is susana giménez's profession?
Q44132,P21,Q6581097,what is stephanos dragoumis's sex
Q336272,P264,Q4352944,what label is the artist george clinton (musician) under?
Q1617908,P162,Q363005,Who is the producer for higher learning
Q520082,P172,Q49085,what's lisa tucker's ethnicity
Q193476,R1142,Q143719,which political party pursues pan-arabism
Q995874,P136,Q1529437,what type of game is fallout tactics
Q3847508,P19,Q1355,Where is ernest dunlop swinton from?
Q215112,R607,Q2348491,Which military man was involved with the second boer war?
Q597433,P264,Q5144791,which record label worked closely with peter tork
Q954949,P136,Q130232,What genre of film is the three burials of melquiades estrada?
Q969572,P19,Q960774,where was david ball born
Q8717,R19,Q2363156,What is the name of an actor born in seville?
Q5895100,R421,Q48,hong kong time is in which time zone
Q828322,R136,Q2357489,which platform game features mario's evil twin?
Q803974,P364,Q150,What language is the film baise-moi in?
Q57143,R136,Q1638782,what is a 2004 power metal album
Q4542793,P61,Q507053,Who discovered (29156) 1989 ch?
Q33999,R106,Q1203818,Name a Japanese actor
Q2625085,P86,Q111436,Who handled the music for five days one summer
Q32910,P495,Q30,what country did the film domino come from
Q1170787,P364,Q1860,what is a language in soldier blue
Q967095,P65,Q191684,Where was 5596 morbidelli discovered?
Q14428,R178,Q2415823,which fighting games were developed by capcom?
Q365359,P19,Q3070,where was mario echandi jiménez born 
Q275947,P21,Q6581072,What is the gender of mademoiselle aïssé?
Q57570,P20,Q516462,where did hans-jürgen von arnim take his last breath
Q4090322,P136,Q188473,what is the genre of the film shadow boxing 3
Q130232,R136,Q1157491,What is an example of a drama film?
Q69707,P21,Q6581072,is karoline jagemann male or female
Q1203,P1303,Q5994,What instrument does john lennon play
Q886185,P364,Q1860,What language was the film flowers in the attic written in?
Q1781,R19,Q438316,What is the name of a notable figure who was born in budapest
Q6038438,P20,Q1754,what is toivo pawlo place of death
Q4050236,P175,Q642181,"What artist has an album titled strength, power, will, passion?"
Q61978,P21,Q6581072,what is the sex of judith of schweinfurt
Q160420,P17,Q17,which country is saga prefecture located 
Q2572548,R170,Q1196836,What television program did producer Kenneth Johnson create?
Q2099297,P21,Q6581097,what gender is betico croes?
Q314990,P21,Q6581097,What is the gender of marcel achard
Q82955,R106,Q16137544,Name a politician.
Q5393341,P20,Q84,What city did ernest jay die in?
Q641547,P413,Q193592,Which position does kosuke nakamachi currently play?
Q706644,P20,Q84,Which city was frederick corder in when he died
Q2840907,P21,Q6581097,which gender is verza
Q57531,P19,Q1726,where was the princess ludovika of bavaria born
Q1154221,P58,Q13455488,who was the writer for the film  the promise
Q1535956,P136,Q343568,knights of the temple: infernal crusade would best be described as this genre of video game.
Q4363366,P364,Q7737,what language is spoken in the film pirogov
Q5272991,P19,Q128282,where was dick haynes born
Q277435,R144,Q685785,what is the adapted work of 9 called
Q2321818,P123,Q45700,what company released the game castlevania iii
Q2446360,P136,Q226730,What genre of film is the star boarder
Q130232,R136,Q1077116,what is a drama film?
Q705714,P58,Q712675,Who wrote the story for art school confidential?
Q55163,R58,Q669622,What film did robert altman write?
Q485412,R131,Q1926592,"Which city is located in wabasha county, minnesota?"
Q1613779,P31,Q55818,What type of crater is herodotus
Q358990,R57,Q4111673,what is the film directed by james hong
Q12152,R509,Q335807,which guitarist died from myocardial infarction?
Q5526177,P413,Q1368195,what position does gary wilson play 
Q3341159,P19,Q220,where in italy was nicoletta elmi born
Q2412435,P50,Q296047,What author wrote letter to a christian nation
Q131642,P105,Q34740,What is the organism rank of ariocarpus
Q111391,P17,Q30,"what is the administrative division of rockwall county, texas"
Q5051777,R40,Q270139,who is  the parent of cate edwards
Q5125741,P21,Q6581097,what is the gender of clancy cooper
Q467078,P57,Q3038028,Who directed the film infamous (film)
Q2138074,P19,Q78,where was regine lutz born
Q1137749,P272,Q191224,which production company opened the the opry house
Q3209079,P495,Q30,What country did skylark originate in?
Q1718298,P495,Q145,Where was the snapper shot
Q4541898,P61,Q507053,Who discovered (17490) 1991 uc3?
Q172,R19,Q4717278,Name an actor born in Toronto?
Q508112,P136,Q200092,What genre of film is i saw what you did?
Q1944395,P136,Q49451,what kind of music is second album
Q367319,P20,Q87,where did ibn jubayr die?
Q70781,P106,Q2962070,What is albrecht becker's profession?
Q333430,P21,Q6581097,is  charles wilson (texas politician) male or female
Q496381,P131,Q156628,What county is waterloo in
Q716424,P20,Q488004,Where did noble willingham die?
Q426828,P57,Q711022,who was the director of donnie darko
Q7860113,P495,Q30,where did tyler perrys for better or worse originate from?
Q164757,P140,Q9089,which religion does john mclaughlin practice?
Q860750,R136,Q1139035,whats the title of a  racing game
Q472,R19,Q5277447,who was born in sofia
Q2357611,P27,Q145,what is martin edwards' country of nationality
Q5108396,P136,Q45981,What genre of music does chris walker make
Q2417149,R162,Q184605,What is the name of a film produced by mark gordon
Q553617,P20,Q60,which city did leo castelli die
Q1395374,P364,Q1860,What language is spoken in family business
Q156230,P196,Q2179,what asteroid group is 656 beagle a member of?
Q179497,R57,Q1213280,What film was directed by oliver stone in 1981?
Q25923,R276,Q1324220,what event took place at longyearbyen
Q333142,P21,Q6581097,is mykola shmatko male or female
Q232212,R58,Q392441,What part did tracy chevalier play
Q613342,P27,Q36,what country is tadeusz hołówko from
Q15726786,P19,Q24826,which city was jake abraham born in 
Q783258,P86,Q365199,who wrote the music for gun crazy 
Q8962247,P21,Q6581097,American actor francis de sales is of what gender?
Q586762,R19,Q4679450,Who was born in westport?
Q1066024,P136,Q10922,Which type of music do the replacements create
Q5998863,P364,Q1860,what language is spoken in illegal?
Q2494726,P27,Q212,from which country is vasyl sachko from
Q221528,P86,Q254,who was the composer of the famous  symphony no. 29
Q1356487,P1303,Q5994,what instrument does leon fleisher play 
Q272353,P21,Q6581072,What gender of diann roffe is
Q1399643,P27,Q30,What is Stephen Hopkins nationality?
Q315249,P20,Q2044,what city in italy did arnolfo di cambio die
Q1171544,P58,Q463502,Who wrote the story for rogue trader (film)
Q20502,R136,Q3028561,What is a house music album
Q3517024,P19,Q1017735,what is the birth place of ted graham
Q371855,P136,Q189045,is urban hymns britpop or j-pop
Q490029,P17,Q30,where is marion county located
Q2468573,P413,Q201330,what position did vyacheslav kernozenko play 
Q2017333,P364,Q1860,which language is primarily spoken in oklahoma!
Q1891647,P86,Q731371,Who did the music for s.o.s. titanic 
Q22513,P20,Q956,Where did zhu de die?
Q766135,P136,Q1054574,what kind of film is gas food lodging
Q717188,P364,Q9610,what language is used in the film the home and the world
Q307157,R171,Q3072,what is the lower classification of eastern gorilla
Q2883729,P27,Q28,what is deborah wells's nationality
Q965179,P21,Q6581097,What is the sex of tommy johnson
Q840829,R149,Q19829,what is an example of baroque architecture?
Q45974,P105,Q7432,what is a white-bellied sea eagle's organism classification
Q14935456,R19,Q969733,who is a military leader born in kangaroo point
Q76688,P21,Q6581097,is hans-hermann hoppe male or female
Q49085,R172,Q1374436,who is an african american painter famous for biblical paintings
Q33999,R106,Q725070,Name an actor.
Q2526255,R106,Q378333,Who is a film director?
Q2434817,R58,Q798734,which films has paul calderon written
Q55263,P404,Q208850,which gameplay mode does the videogame star wars: shadows of the empire have
Q43921,P86,Q180861,who is the composer of party sequence
Q128010,R175,Q950598,which fear factory album was released in 2004?
Q657981,P495,Q30,where was crying freeman done
Q4197943,P495,Q159,what country is on the film idiot: vol. 1
Q1110157,R170,Q23577,"what program series was created by james manos, jr."
Q2164616,P495,Q16,what country does the show  tripping the rift originate from
Q200092,R136,Q505325,What is a classic horror film title
Q361291,P19,Q3579,Where was saif al-arab gaddafi born?
Q61370,P17,Q30,what country is newton county in
Q1141872,P136,Q11366,What sort of rock does smile empty soul perform
Q484344,R136,Q2326634,What is the name of a progressive metal album?
Q733722,P272,Q466459,What production company worked on the film love & other drugs
Q3309727,P21,Q6581097,what gender is michel gauthier?
Q470153,P21,Q6581097,which gender is  reginald veljohnson
Q1362004,P21,Q6581097,which gender is peter schoomaker
Q4696205,P21,Q6581097,what is ahmet taner kışlalı's gender?
Q3600147,P31,Q3863,what kind of celestial object is 91907 shiho?
Q483145,P21,Q6581097,What is the gender of luis figo?
Q85,R19,Q293464,Name someone born in cairo
Q69557,P21,Q6581072,is caroline bauer a man or a woman
Q6895044,R404,Q1757845,Which game uses multiplayer gameplay mode?
Q76364,R86,Q244247,what film did hans zimmer contribute music to
Q40348,R106,Q1462173,Name a lawyer. 
Q1502275,P27,Q17,Which country does genjirō kaneko have nationality in
Q130232,R136,Q508349,what is a movie found in the drama genre in netflix
Q130615,P495,Q408,where did h2o: just add water come from 
Q2126205,P19,Q3001,in what city of Suriname was chinyere pigot born 
Q1818548,P20,Q34006,where did leo f. forbstein die
Q1146246,P364,Q1860,what language was spoken in  veronica guerin
Q295717,P27,Q30,what nationality is vernon l. smith?
Q852001,P495,Q668,what country produced the film bunty aur babli
Q130232,R136,Q603162,Name a film from the drama genre
Q708372,P21,Q6581097,What is Arthur Alkin's gender?
Q1138912,R19,Q332470,Who was born in battersea
Q280658,R413,Q1381604,what's the name of a belgian forward
Q706760,P1303,Q128309,Which instrument does clive bunker play?
Q130314,P413,Q193592,what position does choe myong-ho play in football
Q51147,R19,Q440668,"Who was born in Oconomowoc, Wisconsin?"
Q262102,P27,Q30,What nationality is debra hill?
Q71,R19,Q116314,Who was an actor that was born in geneva
Q193592,R413,Q1989551,who plays midfielder in soccer
Q130232,R136,Q1889403,what is a netflix drama
Q3290402,P53,Q34821,what family was patrick bouvier kennedy a member of
Q173941,R123,Q1584984,What's a game released by electronic arts in 1983
Q1189306,P21,Q6581097,What is trevor wright's gender?
Q159846,R272,Q1198073,which movie was produced by paramount pictures
Q223744,P20,Q1891,where did farinelli die?
Q220,R19,Q2278399,who is a famous person form in rome
Q311263,R57,Q572616,what is a movie directed by john hughes
Q131285,R86,Q1263880,what films has john williams contributed music to
Q2500267,P123,Q2264873,who published spyro: season of ice
Q11998,P136,Q211756,what genre of music is kylie minogue known for
Q448481,P20,Q34006,Where did max baer (boxer) die in LA
Q3062861,P20,Q985592,what city and state did ezra stone pass away in
Q541079,P58,Q3178961,Who was jumper (film) written by?
Q3061215,P495,Q38,where was the film eva first released in
Q6968702,P19,Q49231,Where was the place of birth of nate parker
Q1725997,P17,Q145,which country is arun in 
Q4494816,P19,Q30,which country was timothy hines born
Q980860,P19,Q43382,Where was victor canning born?
Q19204627,R106,Q1258755,who is a famous american football player?
Q19788328,P27,Q38,what country is the italian stefano sardo from
Q256037,P57,Q657354,who directed stage beauty
Q3518918,R1040,Q2075102,what film was terry o. morse the editor for 
Q6219938,P19,Q1754,which city was gustaf unger born in
Q26265,P86,Q528663,Who did the music for cool world?
Q3701661,P21,Q6581097,is daniel london male or female
Q338218,P19,Q994,Where is the place of birth of nodar gabunia
Q17427,P112,Q378036,Who founded communist party of china?
Q30,R17,Q495154,What's a united states in the US
Q2607713,P272,Q159846,which company produced make way for tomorrow?
Q187651,P136,Q157443,What genre is strange wilderness in on netflix?
Q711383,P20,Q204720,Where did hugh despenser the younger perish
Q263148,R162,Q918401,what film was  robert j. flaherty the producer of
Q3942185,P106,Q33999,What is the profession of ruby rose?
Q2464759,P364,Q1860,in what language is treasure island filmed
Q528663,R86,Q571164,what film did mark isham contribute music to
Q1777059,R179,Q429397,what is a film in the lethal weapon series
Q1335059,P31,Q523,What is mu ursae majoris an example of
Q2455358,P57,Q51123,who directed the film the avenging conscience?
Q117139,P264,Q843402,what label does wiz khalifa record under
Q320568,R136,Q487852,which two-part yuri tv program was featured in 2010?
Q929918,P20,Q1345,what city did isaac lea pass away in
Q1871302,P1303,Q5994,Which instrument did lou levy play
Q140008,P397,Q525,What does 1496 turku orbit?
Q375310,P20,Q5092,where did giovanni arrighi fall into the big sleep
Q720681,P27,Q145,where is malcolm muggeridge's nationality of origin
Q5648354,P413,Q25113,what is hank harris  football position
Q156404,R112,Q165980,"whats the organization that rudolf iv, duke of austria founded"
Q36479,P272,Q1047410,who produced the lion king
Q1336266,P21,Q6581097,what gender is emil hossu 
Q1040161,P264,Q557632,which label do the ames bros belong to
Q4685974,P31,Q3863,What is (484600 1991 rh6?
Q969138,P19,Q1308,where was lorenzo boturini benaduci born
Q29496,R509,Q711468,who is a person whose cause of death was leukemia
Q502777,P17,Q30,what country is macon county a division of
Q3371472,R57,Q1165290,what film did paul hoen direct?
Q442729,P27,Q414,is josé figueroa alcorta from argentina or costa rica
Q1049271,P86,Q15869,which queen band member composed the song liar?
Q3312381,P136,Q868217,What kind of game is microsoft international soccer 2000
Q15739824,P27,Q30,What is the nationality of c.j. perry?
Q3388893,P364,Q1860,What is the language spoken in triple dog
Q223768,R175,Q2665326,What is an album by McFly
Q431432,R58,Q476984,what is a movie written by robert c. cooper
Q7614330,P413,Q25075,steve wilson played what american football position
Q1001195,P19,Q60,Where was Buddy Giovinazzo born?
Q1898456,P403,Q104437,Where is the mouth of the  pelly river?
Q260119,P40,Q294425,name eudokia ingerina's child
Q152612,P65,Q191684,where was the discovery of 4064 marjorie made?
Q33999,R106,Q1226229,Name an actor.
Q238016,P172,Q49085,What is the ethnicity of michelle perry?
Q3030909,P20,Q138518,where did hugh mercer's life end?
Q74994,P20,Q1781,what city did joachim rumohr pass away
Q1361397,P19,Q1085,where was otto jelinek born
Q23901,R123,Q968138,What video game did codemasters release?
Q189144,P19,Q23156,Where was walter raleigh born
Q2624508,P61,Q213563,who is the discovery organization that discovered 12343 martinbeech?
Q503318,P19,Q90,where was jean-baptiste boussingault's first breath taken
Q928977,P50,Q380265,Who's the author of coin locker babies
Q4810225,P19,Q949779,which country is riley shy originally from
Q158886,R264,Q431700,Name an artist on the nuclear blast record label
Q711505,P413,Q308879,which basketball position did billy cunningham play
Q1558,P17,Q30,which country is kansas based in
Q370422,P19,Q649,Where was grigory rapota born
Q757094,P175,Q80304,who was the artist of the album  untouchables
Q4203994,P364,Q9176,what language is spoken in the art of seduction
Q3076144,P86,Q931909,who wrote the music for the movie women in trouble
Q2624560,P31,Q3863,what type of object is the 12820 robinwilliams
Q294832,P20,Q2966,what was alexander john cuza's place of death
Q1469774,P57,Q73136,Who directed the film titled on the beach
Q34804,R19,Q524278,Who was born in albuquerque?
Q1476285,P131,Q784,what country is saint john parish located in?
Q35725,P86,Q584221,Who did the music for the trial?
Q1343925,P20,Q5465,Where did sholom schwartzbard die
Q2391894,P179,Q1046812,what game series is tails' skypatrol a part of
Q660034,P404,Q208850,is carmageddon ii: carpocalypse now single-player or multi-player
Q578958,P196,Q2179,which asterioid group is 5314 wilkickia a member of?
Q6849258,P21,Q6581097,What gender is Mike White?
Q190192,P50,Q7934,who was the author of dune (novel)
Q222720,P495,Q145,What country was the film fargo created in?
Q455199,P20,Q64,giuseppe sarti died in what city?
Q1625566,P364,Q1860,what is the language of the premature burial
Q637306,P27,Q145,what is peter robinson's european nationality?
Q3785295,P178,Q689093,who was the developer of the game hero of sparta
Q2290882,P123,Q863618,what company published the game black & white 2
Q712418,P196,Q2179,which group contains (7884) 1993 hh7
