uid,question,subject,props,query,tag,answers
227,Who was formulated the law that for every action there is an equal and opposite reaction?,Q38433,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q38433 wdt:P61 ?answer
}",1-hop,Q935
229,"Which composer wrote the first Soviet rock Opera ""Orpheus and Eurydice""?",Q4337231,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q4337231 wdt:P86 ?answer
}",1-hop,Q4181867
231,What was the name of Rembrandt's wife?,Q5598,wdt:P26,"SELECT ?answer 
WHERE {
  wd:Q5598 wdt:P26 ?answer
}",1-hop,Q109676
232,"Which artist was criticized by French high society for the scandalous ""Portrait of Madame X""?",Q2664039,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q2664039 wdt:P170 ?answer
}",1-hop,Q155626
233,In what theater does O. Basilashvili play?,Q2622206,wdt:P108,"SELECT ?answer 
WHERE {
  wd:Q2622206 wdt:P108 ?answer
}",1-hop,Q1981162
234,In what sea is the Yamal Peninsula located?,Q488266,wdt:P206,"SELECT ?answer 
WHERE {
  wd:Q488266 wdt:P206 ?answer
}",1-hop,Q33629
237,"Who wrote the music for the song ""Moscow nights""?",Q62272,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q62272 wdt:P86 ?answer
}",1-hop,Q739362
238,"Russian Russian seasons, which made Russian ballet famous at the beginning of the XX century, were organized by who?",Q214423,wdt:P112,"SELECT ?answer 
WHERE {
  wd:Q214423 wdt:P112 ?answer
}",1-hop,"Q211513, Q214666, Q319861"
240,What country does the island of Elba belong to-the place of Napoleon's exile?,Q45328,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q45328 wdt:P17 ?answer
}",1-hop,Q38
241,What country is Banff national Park located in?,Q41858,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q41858 wdt:P17 ?answer
}",1-hop,Q16
244,Who was Ivan the terrible's mother?,Q7996,wdt:P25,"SELECT ?answer 
WHERE {
  wd:Q7996 wdt:P25 ?answer
}",1-hop,Q240150
245,"What is the genre of Pushkin's ""captain's daughter""?",Q144569,wdt:P136,"SELECT ?answer 
WHERE {
  wd:Q144569 wdt:P136 ?answer
}",1-hop,"Q192239, Q12799318"
246,What kind of sport was the famous tenor Zurab Sotkilava professionally engaged in?,Q3652339,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q3652339 wdt:P641 ?answer
}",1-hop,Q2736
248,"What city did the architect Oscar Niemeyer build ""from scratch""?",Q134165,wdt:P937,"SELECT ?answer 
WHERE {
  wd:Q134165 wdt:P937 ?answer
}",1-hop,Q2844
249,"Which country belongs to the Bocas del Toro archipelago, where the last hero is being filmed?",Q2632038,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q2632038 wdt:P17 ?answer
}",1-hop,Q804
250,Which mountain is the highest point of the Caucasus?,Q5477,wdt:P610,"SELECT ?answer 
WHERE {
  wd:Q5477 wdt:P610 ?answer
}",1-hop,Q43105
252,"Who is the author of the musical fantasy ""animal Carnival""?",Q941724,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q941724 wdt:P86 ?answer
}",1-hop,Q150445
253,In which country has the leftist terrorist organization Sendero Luminoso been rampaging for many years?,Q207854,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q207854 wdt:P17 ?answer
}",1-hop,Q419
254,In which country does the Orange river flow?,Q181475,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q181475 wdt:P17 ?answer
}",1-hop,"Q258, Q1013, Q1030"
257,"Which singer married the captain of the football team ""Zenit"" Vladislav Radimov?",Q2286919,wdt:P26,"SELECT ?answer 
WHERE {
  wd:Q2286919 wdt:P26 ?answer
}",1-hop,Q467118
259,In what country is the temple complex Angkorwat?,Q43473,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q43473 wdt:P17 ?answer
}",1-hop,Q424
263,Which country does the .co top-level domain belong to?,Q39657,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q39657 wdt:P17 ?answer
}",1-hop,Q739
264,Who is the author of the Chevalier de Saint-Hermine?,Q4521904,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4521904 wdt:P50 ?answer
}",1-hop,Q38337
265,In which Italian city is the Uffizi art gallery located?,Q51252,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q51252 wdt:P276 ?answer
}",1-hop,Q2044
266,"Who was James bond by profession, whose name was given to the hero of a series of books by Ian Lancaster Fleming?",Q241031,wdt:P101,"SELECT ?answer 
WHERE {
  wd:Q241031 wdt:P101 ?answer
}",1-hop,Q44703
268,"In which Museum of the world is Vincent van Gogh's painting ""Red vineyards in Arles""?",Q1926628,wdt:P195,"SELECT ?answer 
WHERE {
  wd:Q1926628 wdt:P195 ?answer
}",1-hop,Q4872
269,"What country was the discoverer of penicillin, Alexander Fleming, a citizen of?",Q37064,wdt:P27,"SELECT ?answer 
WHERE {
  wd:Q37064 wdt:P27 ?answer
}",1-hop,Q145
271,"Who of the domestic Directors who made films based on the novels of A. Dumas, put the film ""Prisoner of the castle If""?",Q4469881,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q4469881 wdt:P57 ?answer
}",1-hop,Q4534523
272,Who wrote the Opera Eugene Onegin?,Q50956,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q50956 wdt:P86 ?answer
}",1-hop,Q7315
273,Which city is the center of the Ural Federal district?,Q41964,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q41964 wdt:P36 ?answer
}",1-hop,Q887
274,Which city is the capital of Australia?,Q408,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q408 wdt:P36 ?answer
}",1-hop,Q3114
275,Where is one of the best preserved fossil formations of the Berges-shale?,Q852085,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q852085 wdt:P17 ?answer
}",1-hop,Q16
276,"Which country's cinematographers made the famous TV series ""Bet more than life""?",Q961,wdt:P495,"SELECT ?answer 
WHERE {
  wd:Q961 wdt:P495 ?answer
}",1-hop,"Q36, Q211274"
278,"Who invented the phonograph, a device for recording and reproducing voice?",Q116434,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q116434 wdt:P61 ?answer
}",1-hop,Q8743
282,Which of the cosmonauts participated in the joint Soyuz - Apollo flight with the United States?,Q208759,wdt:P1029,"SELECT ?answer 
WHERE {
  wd:Q208759 wdt:P1029 ?answer
}",1-hop,"Q154269, Q316417, Q336810, Q432752, Q463833"
283,Who was the famous physicist Niels Bohr in his football role?,Q7085,wdt:P413,"SELECT ?answer 
WHERE {
  wd:Q7085 wdt:P413 ?answer
}",1-hop,Q201330
284,What river flows through the Grand Canyon in the United States?,Q118841,wdt:P206,"SELECT ?answer 
WHERE {
  wd:Q118841 wdt:P206 ?answer
}",1-hop,Q1265
285,Which team was the last champion of the USSR on football?,Q2560523,wdt:P1346,"SELECT ?answer 
WHERE {
  wd:Q2560523 wdt:P1346 ?answer
}",1-hop,Q176371
288,Which city is the capital of Kiribati?,Q710,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q710 wdt:P36 ?answer
}",1-hop,Q131233
290,Which stadium hosted the 1966 FIFA world Cup final?,Q1065912,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q1065912 wdt:P276 ?answer
}",1-hop,Q43279
291,Which city is the capital of Swaziland?,Q1050,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1050 wdt:P36 ?answer
}",1-hop,"Q3904, Q101418"
292,What religion do the Crimean believers belong to?,Q1140111,wdt:P140,"SELECT ?answer 
WHERE {
  wd:Q1140111 wdt:P140 ?answer
}",1-hop,Q9268
293,In what country is mount Kosciuszko located?,Q178167,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q178167 wdt:P17 ?answer
}",1-hop,Q408
294,In which country was the FLAMENCO dance born?,Q9764,wdt:P495,"SELECT ?answer 
WHERE {
  wd:Q9764 wdt:P495 ?answer
}",1-hop,Q29
296,Which theater has been run by Yuri Solomin since 1988?,Q2623285,wdt:P108,"SELECT ?answer 
WHERE {
  wd:Q2623285 wdt:P108 ?answer
}",1-hop,Q1369676
297,What physical quantity is measured in Newtons per meter?,Q215571,wdt:P111,"SELECT ?answer 
WHERE {
  wd:Q215571 wdt:P111 ?answer
}",1-hop,"Q48103, Q857244, Q17232562"
298,Where are the Carlsbad caves?,Q273195,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q273195 wdt:P17 ?answer
}",1-hop,Q30
299,Where can I walk in Patagonia?,Q1507,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q1507 wdt:P131 ?answer
}",1-hop,"Q298, Q414"
300,"Who in England are called ""blue-collar workers""?",Q1191714,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q1191714 wdt:P361 ?answer
}",1-hop,Q191159
301,"Who coined the term ""Oedipus complex""?",Q131246,wdt:P61,"SELECT ?answer 
WHERE {
  wd:Q131246 wdt:P61 ?answer
}",1-hop,Q9215
302,"In which country is the famous monument to the ""Warrior-liberator""?",Q48441,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q48441 wdt:P17 ?answer
}",1-hop,Q183
303,Which country owns the top-level domain .nz?,Q42019,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q42019 wdt:P17 ?answer
}",1-hop,Q664
305,Where is mount Etna?,Q16990,wdt:P706,"SELECT ?answer 
WHERE {
  wd:Q16990 wdt:P706 ?answer
}",1-hop,Q1460
307,What country is Mecca located in?,Q5806,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q5806 wdt:P17 ?answer
}",1-hop,Q851
308,"Who wrote the novel ""To the lighthouse""?",Q478016,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q478016 wdt:P50 ?answer
}",1-hop,Q40909
309,Where he was born Dmitri Dmitrievich Shostakovich?,Q80135,wdt:P19,"SELECT ?answer 
WHERE {
  wd:Q80135 wdt:P19 ?answer
}",1-hop,Q656
312,What was the name of the mythological Minotaur's mother?,Q129866,wdt:P25,"SELECT ?answer 
WHERE {
  wd:Q129866 wdt:P25 ?answer
}",1-hop,Q203236
313,Which Roman goddess corresponds to the Greek Persephone?,Q45967,wdt:P460,"SELECT ?answer 
WHERE {
  wd:Q45967 wdt:P460 ?answer
}",1-hop,Q14515330
314,What city is the Alhambra located in?,Q47476,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q47476 wdt:P131 ?answer
}",1-hop,Q8810
315,What city is the Taj Mahal located in?,Q9141,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q9141 wdt:P276 ?answer
}",1-hop,Q42941
316,What city is the Acropolis located in?,Q3565096,wdt:P159,"SELECT ?answer 
WHERE {
  wd:Q3565096 wdt:P159 ?answer
}",1-hop,Q1524
317,Which car company owns the Plymouth brand?,Q1124857,wdt:P127,"SELECT ?answer 
WHERE {
  wd:Q1124857 wdt:P127 ?answer
}",1-hop,Q181114
318,Which city is the capital of the Nagorno-Karabakh Republic?,Q244165,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q244165 wdt:P36 ?answer
}",1-hop,Q129352
319,Which country owns the top-level .mo domain?,Q43539,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q43539 wdt:P131 ?answer
}",1-hop,Q14773
320,What city does the UN international court of justice reside in?,Q7801,wdt:P159,"SELECT ?answer 
WHERE {
  wd:Q7801 wdt:P159 ?answer
}",1-hop,Q36600
321,Who was the national leader of Yugoslavia Josip Broz Tito?,Q9161,wdt:P172,"SELECT ?answer 
WHERE {
  wd:Q9161 wdt:P172 ?answer
}",1-hop,Q167420
322,"Which Shakespeare play formed the basis of the plot of the musical ""West side story""?",Q669010,wdt:P144,"SELECT ?answer 
WHERE {
  wd:Q669010 wdt:P144 ?answer
}",1-hop,Q83186
323,"Who painted the picture ""Garden of earthly pleasures""?",Q321303,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q321303 wdt:P170 ?answer
}",1-hop,Q130531
325,Who became the husband of Helen of Troy?,Q164061,wdt:P26,"SELECT ?answer 
WHERE {
  wd:Q164061 wdt:P26 ?answer
}",1-hop,"Q167646, Q171839, Q736813"
328,Where is the city of Ust-Ilimsk?,Q27551738,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q27551738 wdt:P131 ?answer
}",1-hop,Q6585
329,In which country did the Sandinistas rule at one time?,Q27389,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q27389 wdt:P17 ?answer
}",1-hop,Q811
332,"Who told about his first work in the story ""Notes on cuffs""?",Q4186681,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4186681 wdt:P50 ?answer
}",1-hop,Q835
333,Which country does the Azores belong to?,Q25263,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q25263 wdt:P17 ?answer
}",1-hop,Q45
336,Which country is Tasmania part of?,Q3593416,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q3593416 wdt:P17 ?answer
}",1-hop,Q408
337,"Who wrote the short story ""the Mayor""?",Q3226739,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q3226739 wdt:P50 ?answer
}",1-hop,Q42831
338,Who wrote the Leicester code that Bill gates bought for more than $ 30 million in 1994?,Q683814,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q683814 wdt:P50 ?answer
}",1-hop,Q762
340,Which city is the capital of Northern Ireland?,Q26,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q26 wdt:P36 ?answer
}",1-hop,Q10686
341,What is the name of the capital of Kampuchea?,Q330988,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q330988 wdt:P36 ?answer
}",1-hop,Q1850
342,Where is the metatarsal located in the human body?,Q320524,wdt:P927,"SELECT ?answer 
WHERE {
  wd:Q320524 wdt:P927 ?answer
}",1-hop,Q15807
345,"What was the name of the first independent trade Union in socialist Poland, headed by the future President Lech Walesa?",Q444,wdt:P463,"SELECT ?answer 
WHERE {
  wd:Q444 wdt:P463 ?answer
}",1-hop,Q1003
346,Which country does the BMW manufacturer belong to?,Q26678,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q26678 wdt:P17 ?answer
}",1-hop,Q183
347,Where is lake Balaton located,Q6383,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q6383 wdt:P17 ?answer
}",1-hop,Q28
348,"Who made the short film ""When the Cossacks cry"" based on Mikhail Sholokhov's ""Don stories""?",Q4226037,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q4226037 wdt:P57 ?answer
}",1-hop,Q1532068
349,The country in which legislative power is vested in the Knesset?,Q133396,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q133396 wdt:P17 ?answer
}",1-hop,Q801
350,Which city is the capital of the state of Rwanda?,Q1037,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1037 wdt:P36 ?answer
}",1-hop,Q3859
351,In what architectural style was the Kazan Cathedral built,Q404571,wdt:P149,"SELECT ?answer 
WHERE {
  wd:Q404571 wdt:P149 ?answer
}",1-hop,"Q170292, Q191105"
352,"Which group took part in the filming of Alexey Balabanov's film ""Brother""?",Q1192679,wdt:P175,"SELECT ?answer 
WHERE {
  wd:Q1192679 wdt:P175 ?answer
}",1-hop,Q127888
353,Which of the alexandrovs wrote the music that is now the anthem of Russia?,Q1225991,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q1225991 wdt:P86 ?answer
}",1-hop,Q319708
354,Which architect built the Sagrada Familia Cathedral in Barcelona for more than 40 years?,Q48435,wdt:P84,"SELECT ?answer 
WHERE {
  wd:Q48435 wdt:P84 ?answer
}",1-hop,Q25328
355,Who was the founder of Audi?,Q23317,wdt:P112,"SELECT ?answer 
WHERE {
  wd:Q23317 wdt:P112 ?answer
}",1-hop,Q58035
356,"Who is the Director of the controversial TV series ""School""?",Q4525028,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q4525028 wdt:P57 ?answer
}",1-hop,"Q468621, Q15071896"
359,In which country does a terrorist organization with the acronym ETA operate?,Q42814,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q42814 wdt:P17 ?answer
}",1-hop,"Q29, Q142"
360,What scientist invented the coordinate system in mathematics?,Q62912,wdt:P138,"SELECT ?answer 
WHERE {
  wd:Q62912 wdt:P138 ?answer
}",1-hop,Q9191
362,In which country did the risotto dish come up?,Q208105,wdt:P495,"SELECT ?answer 
WHERE {
  wd:Q208105 wdt:P495 ?answer
}",1-hop,Q38
363,What sports are included in the decathlon?,Q184654,wdt:P527,"SELECT ?answer 
WHERE {
  wd:Q184654 wdt:P527 ?answer
}",1-hop,"Q164761, Q165704, Q170737, Q178108, Q180935, Q182570, Q185027, Q191691, Q334734, Q537769"
364,What kind of martial arts does Steven Seagal masterfully master?,Q82110,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q82110 wdt:P641 ?answer
}",1-hop,Q43114
366,Where did the 1972 summer Olympics take place?,Q8438,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q8438 wdt:P276 ?answer
}",1-hop,"Q1726, Q131610"
367,What region of Africa is the Republic of Niger located in?,Q1032,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q1032 wdt:P361 ?answer
}",1-hop,Q4412
368,"Who is the author of the painting "" flowers of evil?""",Q216578,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q216578 wdt:P50 ?answer
}",1-hop,Q501
369,"Who was Laszlo Josef Biro, the inventor of the ballpoint pen, by profession?",Q312680,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q312680 wdt:P106 ?answer
}",1-hop,"Q205375, Q1281618, Q1930187"
370,"Who is the author of the novel ""razor's Edge""?",Q759329,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q759329 wdt:P50 ?answer
}",1-hop,Q134942
371,"What work of Chekhov served as the basis for the movie ""My gentle and gentle beast""?",Q4299844,wdt:P144,"SELECT ?answer 
WHERE {
  wd:Q4299844 wdt:P144 ?answer
}",1-hop,Q4167647
372,Which river originates in lake Baikal?,Q5513,wdt:P201,"SELECT ?answer 
WHERE {
  wd:Q5513 wdt:P201 ?answer
}",1-hop,Q162737
374,Which river is a tributary of the Moscow river?,Q175117,wdt:P403,"SELECT ?answer 
WHERE {
  wd:Q175117 wdt:P403 ?answer
}",1-hop,Q172089
375,What natural object in Karelia is called Kivach?,Q2994984,wdt:P31,"SELECT ?answer 
WHERE {
  wd:Q2994984 wdt:P31 ?answer
}",1-hop,Q34038
377,Where is Osh located?,Q47282,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q47282 wdt:P131 ?answer
}",1-hop,Q813
378,"""In which suburb of St. Petersburg can you admire the Amber room?""",Q157012,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q157012 wdt:P131 ?answer
}",1-hop,Q7947
379,"Who is the author of the musical play ""the sorcerer's Apprentice""?",Q1066882,wdt:P86,"SELECT ?answer 
WHERE {
  wd:Q1066882 wdt:P86 ?answer
}",1-hop,Q215556
380,Which city is the administrative center of the Amur region?,Q6886,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q6886 wdt:P36 ?answer
}",1-hop,Q6934
381,"Who was Lewis Carroll, the author of Alice's tales, by profession?",Q38082,wdt:P106,"SELECT ?answer 
WHERE {
  wd:Q38082 wdt:P106 ?answer
}",1-hop,"Q33231, Q36180, Q49757, Q161944, Q170790, Q4853732, Q4964182, Q6625963, Q14565331, Q18814623, Q18939491"
382,Which of the empresses was on the Russian throne after the death of Peter I?,Q8479,wdt:P156,"SELECT ?answer 
WHERE {
  wd:Q8479 wdt:P156 ?answer
}",1-hop,Q15208
383,Which country does the .ao top-level domain belong to?,Q39006,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q39006 wdt:P17 ?answer
}",1-hop,Q916
384,What is the name of the monetary unit of Kyrgyzstan?,Q813,wdt:P38,"SELECT ?answer 
WHERE {
  wd:Q813 wdt:P38 ?answer
}",1-hop,Q35881
385,Which country hosted the 2006 winter Olympics?,Q9672,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q9672 wdt:P17 ?answer
}",1-hop,Q38
386,In what modern country are the ruins of Carthage located?,Q52284968,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q52284968 wdt:P17 ?answer
}",1-hop,Q948
387,Who founded the Opel company?,Q40966,wdt:P112,"SELECT ?answer 
WHERE {
  wd:Q40966 wdt:P112 ?answer
}",1-hop,Q57479
389,Where is the city of Bukhara?,Q5764,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q5764 wdt:P17 ?answer
}",1-hop,Q265
390,"Who is the author of the novel ""ugryum-reka""?",Q4469193,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q4469193 wdt:P50 ?answer
}",1-hop,Q320653
392,Which Opera does Polovtsian dance form part of?,Q929758,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q929758 wdt:P361 ?answer
}",1-hop,Q275354
394,"Who directed the famous Japanese-Soviet film ""Dersu Uzala""?",Q948023,wdt:P57,"SELECT ?answer 
WHERE {
  wd:Q948023 wdt:P57 ?answer
}",1-hop,Q8006
396,Who was the owner of the horse named Bucephalus?,Q201598,wdt:P127,"SELECT ?answer 
WHERE {
  wd:Q201598 wdt:P127 ?answer
}",1-hop,Q8409
397,In which American city was the Chekhov publishing house created?,Q4198522,wdt:P740,"SELECT ?answer 
WHERE {
  wd:Q4198522 wdt:P740 ?answer
}",1-hop,Q60
398,What playing role did David Beckham have?,Q10520,wdt:P413,"SELECT ?answer 
WHERE {
  wd:Q10520 wdt:P413 ?answer
}",1-hop,Q193592
399,"In which city in America is the ""Bronx"" an urban area",Q18426,wdt:P131,"SELECT ?answer 
WHERE {
  wd:Q18426 wdt:P131 ?answer
}",1-hop,Q60
400,Where the summer Olympic games will be held in 2016.,Q8613,wdt:P276,"SELECT ?answer 
WHERE {
  wd:Q8613 wdt:P276 ?answer
}",1-hop,Q8678
401,Where is Indian protection used?,Q441458,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q441458 wdt:P641 ?answer
}",1-hop,Q718
402,"In which theater on April 19, 1836, the premiere of Gogol's Comedy ""the inspector"" took place?",Q471066,wdt:P4647,"SELECT ?answer 
WHERE {
  wd:Q471066 wdt:P4647 ?answer
}",1-hop,Q1186567
403,"Which collection of Nikolai Gogol includes the story ""Viy""?",Q1409198,wdt:P361,"SELECT ?answer 
WHERE {
  wd:Q1409198 wdt:P361 ?answer
}",1-hop,Q1754954
404,Who is the author of the monument to Ivan Krylov in the Summer garden of St. Petersburg?,Q4343206,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q4343206 wdt:P170 ?answer
}",1-hop,Q155856
406,"In what sports game does the term ""gambit"" exist?",Q208544,wdt:P641,"SELECT ?answer 
WHERE {
  wd:Q208544 wdt:P641 ?answer
}",1-hop,Q718
407,Who was the Chairman of the Provisional Government?,Q239543,wdt:P6,"SELECT ?answer 
WHERE {
  wd:Q239543 wdt:P6 ?answer
}",1-hop,"Q48211, Q297032"
409,What time zone is the city of Lisbon located in?,Q597,wdt:P421,"SELECT ?answer 
WHERE {
  wd:Q597 wdt:P421 ?answer
}",1-hop,"Q6574, Q6655"
410,"Who wrote the story ""Conduit and Schwambrania""?",Q2252950,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q2252950 wdt:P50 ?answer
}",1-hop,Q715281
411,"Who wrote the novel ""Three comrades""?",Q1257081,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q1257081 wdt:P50 ?answer
}",1-hop,Q47293
412,"Who wrote the novel ""the Black obelisk""?",Q1199598,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q1199598 wdt:P50 ?answer
}",1-hop,Q47293
414,Who painted the Last day of Pompeii?,Q2521909,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q2521909 wdt:P170 ?answer
}",1-hop,Q4768
416,"Who painted the picture ""Morning of the Sagittarius execution""?",Q4478998,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q4478998 wdt:P170 ?answer
}",1-hop,Q110228
417,"Who painted ""Morning in the pine forest""?",Q2666439,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q2666439 wdt:P170 ?answer
}",1-hop,Q193064
418,"Who painted the painting ""Gioconda ""(""Mona Lisa"")?",Q12418,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q12418 wdt:P170 ?answer
}",1-hop,Q762
420,"Who painted the picture ""Girl with peaches""?",Q4156438,wdt:P170,"SELECT ?answer 
WHERE {
  wd:Q4156438 wdt:P170 ?answer
}",1-hop,Q217128
421,Which country hosted the 18th FIFA world Cup in 2006?,Q37285,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q37285 wdt:P17 ?answer
}",1-hop,Q183
426,What is depicted on the flag of Liechtenstein?,Q103055,wdt:P180,"SELECT ?answer 
WHERE {
  wd:Q103055 wdt:P180 ?answer
}",1-hop,"Q170984, Q372254"
427,What is the name of the stadium of the Villareal football team?,Q12297,wdt:P115,"SELECT ?answer 
WHERE {
  wd:Q12297 wdt:P115 ?answer
}",1-hop,Q741157
429,What did the Aztecs use as a bargaining chip?,Q12542,wdt:P38,"SELECT ?answer 
WHERE {
  wd:Q12542 wdt:P38 ?answer
}",1-hop,Q208008
430,In what country is the town of Boryspil?,Q158910,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q158910 wdt:P17 ?answer
}",1-hop,Q212
432,A tributary of which river is a Golden Lime?,Q2298290,wdt:P403,"SELECT ?answer 
WHERE {
  wd:Q2298290 wdt:P403 ?answer
}",1-hop,Q131210
433,What singing voice did Fyodor Chaliapin have?,Q189164,wdt:P412,"SELECT ?answer 
WHERE {
  wd:Q189164 wdt:P412 ?answer
}",1-hop,Q27911
434,In what sea is the island of Kimolos located?,Q919194,wdt:P206,"SELECT ?answer 
WHERE {
  wd:Q919194 wdt:P206 ?answer
}",1-hop,Q34575
437,In what field of creativity was the Austrian Gustav Klimt famous?,Q34661,wdt:P101,"SELECT ?answer 
WHERE {
  wd:Q34661 wdt:P101 ?answer
}",1-hop,Q11629
438,What Empire replaced the Parthian Kingdom?,Q1986139,wdt:P156,"SELECT ?answer 
WHERE {
  wd:Q1986139 wdt:P156 ?answer
}",1-hop,Q83891
439,On which river is the island of the Tagar?,Q4449608,wdt:P206,"SELECT ?answer 
WHERE {
  wd:Q4449608 wdt:P206 ?answer
}",1-hop,Q78707
440,"Whose ""Logical-philosophical treatise"" inspired the Vienna circle to create a program of logical positivism?",Q655717,wdt:P50,"SELECT ?answer 
WHERE {
  wd:Q655717 wdt:P50 ?answer
}",1-hop,Q9391
441,Which city is the administrative capital of South Africa?,Q258,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q258 wdt:P36 ?answer
}",1-hop,"Q3926, Q5465, Q37701"
442,Which group of elementary particles do electrons belong to?,Q2225,wdt:P279,"SELECT ?answer 
WHERE {
  wd:Q2225 wdt:P279 ?answer
}",1-hop,"Q44363, Q82586"
443,What does the well have?,Q43483,wdt:P527,"SELECT ?answer 
WHERE {
  wd:Q43483 wdt:P527 ?answer
}",1-hop,Q592289
444,Which city is the capital of the U.S. state of Kentucky?,Q1603,wdt:P36,"SELECT ?answer 
WHERE {
  wd:Q1603 wdt:P36 ?answer
}",1-hop,Q28603
445,In which country are the Seven Rila lakes located?,Q1661327,wdt:P17,"SELECT ?answer 
WHERE {
  wd:Q1661327 wdt:P17 ?answer
}",1-hop,Q219
446,Who is the Chairman of the Russian Geographical Society?,Q726762,wdt:P488,"SELECT ?answer 
WHERE {
  wd:Q726762 wdt:P488 ?answer
}",1-hop,Q32024
447,What constellation is the crab nebula in?,Q10934,wdt:P59,"SELECT ?answer 
WHERE {
  wd:Q10934 wdt:P59 ?answer
}",1-hop,Q10570
448,In what language did Paracelsus write and teach?,Q83428,wdt:P6886,"SELECT ?answer 
WHERE {
  wd:Q83428 wdt:P6886 ?answer
}",1-hop,Q188
